Titulo,Año,Duración,Género,Puntaje,Resumen,Director,Actor_1,Actor_2,Actor_3,Actor_4
Eternal Sunshine of the Spotless Mind,2004,108,"Drama, Romance, Ciencia ficción",8.3,"Cuando su relación se vuelve amarga, una pareja se somete a un procedimiento médico para borrarse mutuamente de sus recuerdos.",Michel Gondry,Jim Carrey,Kate Winslet,Tom Wilkinson,Gerry Robert Byrne
AmÃ©lie,2001,122,Comedia romántica,8.3,"Amélie es una chica inocente e ingenua de París con su propio sentido de la justicia. Decide ayudar a quienes la rodean y, en el camino, descubre el amor.",Jean-Pierre Jeunet,Audrey Tautou,Mathieu Kassovitz,Rufus,Lorella Cravotta
Snatch,2000,104,"Comedia, Crimen",8.3,"Promotores de boxeo sin escrúpulos, corredores de apuestas violentos, un gángster ruso, ladrones aficionados incompetentes y joyeros supuestamente judíos luchan por localizar un diamante robado de valor incalculable.",Guy Ritchie,Jason Statham,Brad Pitt,Benicio Del Toro,Dennis Farina
Requiem for a Dream,2000,102,Drama,8.3,Las utopías inducidas por las drogas de cuatro habitantes de Coney Island se hacen añicos cuando sus adicciones son profundas.,Darren Aronofsky,Ellen Burstyn,Jared Leto,Jennifer Connelly,Marlon Wayans
American Beauty,1999,122,Drama,8.3,Un padre suburbano sexualmente frustrado tiene una crisis de mediana edad después de enamorarse de la mejor amiga de su hija.,Sam Mendes,Kevin Spacey,Annette Bening,Thora Birch,Wes Bentley
Good Will Hunting,1997,126,"Drama, Romance",8.3,"Will Hunting, conserje del MIT, tiene un don para las matemáticas, pero necesita la ayuda de un psicólogo para encontrar el rumbo de su vida.",Gus Van Sant,Robin Williams,Matt Damon,Ben Affleck,Stellan SkarsgÃ¥rd
Bacheha-Ye aseman,1997,89,"Drama, Familia, Deporte",8.3,"Después de que un niño pierde el par de zapatos de su hermana, emprende una serie de aventuras para encontrarlos. Cuando no puede, intenta una nueva forma de ""ganar"" un nuevo par.",Majid Majidi,Mohammad Amir Naji,Amir Farrokh Hashemian,Bahare Seddiqi,Nafise Jafar-Mohammadi
Toy Story,1995,81,"Animación, Aventura, Comedia",8.3,Un muñeco vaquero se siente profundamente amenazado y celoso cuando una nueva figura de un astronauta lo suplanta como el mejor juguete en la habitación de un niño.,John Lasseter,Tom Hanks,Tim Allen,Don Rickles,Jim Varney
Braveheart,1995,178,"Biografía, Drama, Historia",8.3,El guerrero escocés William Wallace lidera a sus compatriotas en una rebelión para liberar a su tierra natal de la tiranía del rey Eduardo I de Inglaterra.,Mel Gibson,Mel Gibson,Sophie Marceau,Patrick McGoohan,Angus Macfadyen
Reservoir Dogs,1992,99,"Crimen, Drama, Suspense",8.3,"Cuando un simple atraco a una joyería sale terriblemente mal, los delincuentes supervivientes empiezan a sospechar que uno de ellos es un informante de la policía.",Quentin Tarantino,Harvey Keitel,Tim Roth,Michael Madsen,Chris Penn
Full Metal Jacket,1987,116,"Drama, Guerra",8.3,"Un pragmático marine estadounidense observa los efectos deshumanizadores que la guerra de Vietnam tiene en sus compañeros reclutas, desde su brutal entrenamiento en el campo de entrenamiento hasta los sangrientos combates callejeros en Hue.",Stanley Kubrick,Matthew Modine,R. Lee Ermey,Vincent D'Onofrio,Adam Baldwin
Idi i smotri,1985,142,"Drama, Suspense, Guerra",8.3,"Después de encontrar un viejo rifle, un joven se une al movimiento de resistencia soviético contra las despiadadas fuerzas alemanas y experimenta los horrores de la Segunda Guerra Mundial.",Elem Klimov,Aleksey Kravchenko,Olga Mironova,Liubomiras Laucevicius,Vladas Bagdonas
Aliens,1986,137,"Acción, Aventura, Ciencia ficción",8.3,"Cincuenta y siete años después de sobrevivir a un ataque apocalíptico a bordo de su nave espacial por parte de despiadadas criaturas espaciales, la oficial Ripley despierta de un hipersueño e intenta advertir a cualquiera que escuche sobre los depredadores.",James Cameron,Sigourney Weaver,Michael Biehn,Carrie Henn,Paul Reiser
Amadeus,1984,160,"Biografía, Drama, Historia",8.3,"La vida, el éxito y los problemas de Wolfgang Amadeus Mozart, contados por Antonio Salieri, el compositor contemporáneo que estaba increíblemente celoso del talento de Mozart y afirmó haberlo asesinado.",Milos Forman,F. Murray Abraham,Tom Hulce,Elizabeth Berridge,Roy Dotrice
Scarface,1983,170,"Drama, Crimen",8.3,"En Miami de 1980, un inmigrante cubano decidido se hace cargo de un cartel de la droga y sucumbe a la codicia.",Brian De Palma,Al Pacino,Michelle Pfeiffer,Steven Bauer,Mary Elizabeth Mastrantonio
Star Wars: Episode VI - Return of the Jedi,1983,131,"Acción, Aventura, Fantasía",8.3,"Después de una atrevida misión para rescatar a Han Solo de Jabba el Hutt, los rebeldes se envían a Endor para destruir la segunda Estrella de la Muerte. Mientras tanto, Luke lucha por ayudar a Darth Vader a regresar del lado oscuro sin caer en la trampa del Emperador.",Richard Marquand,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams
Das Boot,1981,149,"Aventura, Drama, Suspense",8.3,"El mundo claustrofóbico de un submarino alemán de la Segunda Guerra Mundial; aburrimiento, inmundicia y puro terror.",Wolfgang Petersen,JÃ¼rgen Prochnow,Herbert GrÃ¶nemeyer,Klaus Wennemann,Hubertus Bengsch
Taxi Driver,1976,114,"Drama, Crimen",8.3,"Un veterano mentalmente inestable trabaja como taxista nocturno en la ciudad de Nueva York, donde la decadencia y la sordidez percibidas alimentan su impulso de acción violenta al intentar liberar a un trabajador de la campaña presidencial y a una prostituta menor de edad.",Martin Scorsese,Robert De Niro,Jodie Foster,Cybill Shepherd,Albert Brooks
The Sting,1973,129,"Comedia, Crimen, Drama",8.3,Dos estafadores se unen para llevar a cabo la estafa definitiva.,George Roy Hill,Paul Newman,Robert Redford,Robert Shaw,Charles Durning
A Clockwork Orange,1971,136,"Crimen, Drama, Ciencia ficción",8.3,"En el futuro, un sádico líder de una pandilla es encarcelado y se ofrece como voluntario para un experimento de aversión a la conducta, pero no sale según lo planeado.",Stanley Kubrick,Malcolm McDowell,Patrick Magee,Michael Bates,Warren Clarke
2001: A Space Odyssey,1968,149,"Aventura, Ciencia ficción",8.3,"Después de descubrir un misterioso artefacto enterrado bajo la superficie lunar, la humanidad emprende una búsqueda para encontrar su origen con la ayuda de la supercomputadora inteligente H.A.L. 9000.",Stanley Kubrick,Keir Dullea,Gary Lockwood,William Sylvester,Daniel Richter
Per qualche dollaro in piÃ¹,1965,132,occidental,8.3,Dos cazarrecompensas con las mismas intenciones se unen para localizar a un forajido occidental.,Sergio Leone,Clint Eastwood,Lee Van Cleef,Gian Maria VolontÃ¨,Mara Krupp
Lawrence of Arabia,1962,228,"Aventura, Biografía, Drama",8.3,"La historia de T.E. Lawrence, el oficial inglés que unió y dirigió con éxito a las diversas tribus árabes, a menudo en guerra, durante la Primera Guerra Mundial para luchar contra los turcos.",David Lean,Peter O'Toole,Alec Guinness,Anthony Quinn,Jack Hawkins
The Apartment,1960,125,"Comedia, Drama, Romance",8.3,"Un hombre intenta ascender en su empresa dejando que sus ejecutivos usen su apartamento para citas, pero sobrevienen complicaciones y un romance propio.",Billy Wilder,Jack Lemmon,Shirley MacLaine,Fred MacMurray,Ray Walston
North by Northwest,1959,136,"Aventura, Misterio, Suspense",8.3,Un ejecutivo de publicidad de la ciudad de Nueva York se da a la fuga después de que un grupo de espías extranjeros lo confundan con un agente del gobierno.,Alfred Hitchcock,Cary Grant,Eva Marie Saint,James Mason,Jessie Royce Landis
Vertigo,1958,128,"Misterio, Romance, Suspense",8.3,Un ex detective de policía hace malabarismos para luchar con sus demonios personales y obsesionarse con una mujer inquietantemente hermosa.,Alfred Hitchcock,James Stewart,Kim Novak,Barbara Bel Geddes,Tom Helmore
Singin' in the Rain,1952,103,"Comedia, Musical, Romance",8.3,Una productora y un elenco de cine mudo hacen una difícil transición al sonido.,Stanley Donen,Gene Kelly,Gene Kelly,Donald O'Connor,Debbie Reynolds
Ikiru,1952,143,Drama,8.3,Un burócrata intenta encontrarle un sentido a su vida después de descubrir que tiene un cáncer terminal.,Akira Kurosawa,Takashi Shimura,Nobuo Kaneko,Shin'ichi Himori,Haruo Tanaka
Ladri di biciclette,1948,89,Drama,8.3,"En la Italia de la posguerra, le roban la bicicleta a un hombre de clase trabajadora. Él y su hijo se propusieron encontrarlo.",Vittorio De Sica,Lamberto Maggiorani,Enzo Staiola,Lianella Carell,Elena Altieri
Double Indemnity,1944,107,"Crimen, Drama, Cine negro",8.3,Un representante de seguros se deja convencer por una seductora ama de casa sobre un plan de asesinato y fraude de seguros que despierta las sospechas de un investigador de seguros.,Billy Wilder,Fred MacMurray,Barbara Stanwyck,Edward G. Robinson,Byron Barr
Citizen Kane,1941,119,"Drama, Misterio",8.3,"Tras la muerte del magnate editorial Charles Foster Kane, los periodistas se apresuran a descubrir el significado de su última declaración; 'Capullo de rosa'.",Orson Welles,Orson Welles,Joseph Cotten,Dorothy Comingore,Agnes Moorehead
M - Eine Stadt sucht einen MÃ¶rder,1931,117,"Crimen, Misterio, Suspense",8.3,"Cuando la policía de una ciudad alemana no puede atrapar a un asesino de niños, otros criminales se unen a la persecución.",Fritz Lang,Peter Lorre,Ellen Widmann,Inge Landgut,Otto Wernicke
Metropolis,1927,153,"Drama, ciencia ficción",8.3,"En una ciudad futurista profundamente dividida entre la clase trabajadora y los urbanistas, el hijo del cerebro de la ciudad se enamora de un profeta de la clase trabajadora que predice la llegada de un salvador para mediar en sus diferencias.",Fritz Lang,Brigitte Helm,Alfred Abel,Gustav FrÃ¶hlich,Rudolf Klein-Rogge
The Kid,1921,68,"Comedia, Drama, Familia",8.3,"El Vagabundo cuida de un niño abandonado, pero los acontecimientos ponen en peligro esa relación.",Charles Chaplin,Charles Chaplin,Edna Purviance,Jackie Coogan,Carl Miller
Chhichhore,2019,143,Comedia dramática,8.2,"Un trágico incidente obliga a Anirudh, un hombre de mediana edad, a hacer un viaje al pasado y recordar sus días universitarios junto con sus amigos, que fueron etiquetados como perdedores.",Nitesh Tiwari,Sushant Singh Rajput,Shraddha Kapoor,Varun Sharma,Prateik
Uri: The Surgical Strike,2018,138,"Acción, Drama, Guerra",8.2,Las fuerzas especiales del ejército indio ejecutan una operación encubierta para vengar el asesinato de compañeros del ejército en su base a manos de un grupo terrorista.,Aditya Dhar,Vicky Kaushal,Paresh Rawal,Mohit Raina,Yami Gautam
K.G.F: Chapter 1,2018,156,"Acción, Drama",8.2,"En la década de 1970, un feroz rebelde se levanta contra la brutal opresión y se convierte en el símbolo de esperanza para legiones de personas oprimidas.",Prashanth Neel,Yash,Srinidhi Shetty,Ramachandra Raju,Archana Jois
Green Book,2018,130,"Biografía, Comedia, Drama",8.2,Un portero italoamericano de clase trabajadora se convierte en el conductor de un pianista clásico afroamericano en una gira por lugares del sur de Estados Unidos en la década de 1960.,Peter Farrelly,Viggo Mortensen,Mahershala Ali,Linda Cardellini,Sebastian Maniscalco
"Three Billboards Outside Ebbing, Missouri",2017,115,"Comedia, Crimen, Drama",8.2,Una madre desafía personalmente a las autoridades locales a resolver el asesinato de su hija cuando no logran atrapar al culpable.,Martin McDonagh,Frances McDormand,Woody Harrelson,Sam Rockwell,Caleb Landry Jones
Talvar,2015,132,"Crimen, Drama, Misterio",8.2,Un investigador experimentado se enfrenta a varias teorías contradictorias sobre los autores de un violento doble homicidio.,Meghna Gulzar,Irrfan Khan,Konkona Sen Sharma,Neeraj Kabi,Sohum Shah
Baahubali 2: The Conclusion,2017,167,"Acción, Drama",8.2,"Cuando Shiva, el hijo de Bahubali, descubre su herencia, comienza a buscar respuestas. Su historia se yuxtapone con acontecimientos pasados ​​que se desarrollaron en el Reino Mahishmati.",S.S. Rajamouli,Prabhas,Rana Daggubati,Anushka Shetty,Tamannaah Bhatia
Klaus,2019,96,"Animación, Aventura, Comedia",8.2,"Un simple acto de bondad siempre provoca otro, incluso en un lugar lejano y helado. Cuando Jesper, el nuevo cartero de Smeerensburg, se hace amigo del fabricante de juguetes Klaus, sus regalos disuelven una antigua disputa y entregan un trineo lleno de tradiciones navideñas.",Sergio Pablos,Carlos MartÃ­nez LÃ³pez,Jason Schwartzman,J.K. Simmons,Rashida Jones
Drishyam,2015,163,"Crimen, Drama, Misterio",8.2,"Un hombre que intenta salvar a su familia del lado oscuro de la ley toma medidas desesperadas, luego de que cometen un crimen inesperado.",Nishikant Kamat,Ajay Devgn,Shriya Saran,Tabu,Rajat Kapoor
Queen,2013,146,"Aventura, Comedia, Drama",8.2,Una chica de Delhi de una familia tradicional se embarca en una luna de miel en solitario después de que se cancela su matrimonio.,Vikas Bahl,Kangana Ranaut,Rajkummar Rao,Lisa Haydon,Jeffrey Ho
Mandariinid,2013,87,"Drama, Guerra",8.2,"En 1992, la guerra hace estragos en Abjasia, una región separatista de Georgia. Ivo, un estonio, ha decidido quedarse y cosechar mandarinas. En un sangriento conflicto en su puerta, un hombre herido se queda atrás e Ivo lo acoge.",Zaza Urushadze,Lembit Ulfsak,Elmo NÃ¼ganen,Giorgi Nakashidze,Misha Meskhi
Bhaag Milkha Bhaag,2013,186,"Biografía, Drama, Deporte",8.2,"La verdad detrás del ascenso de Milkha Singh, que quedó marcado por la partición entre India y Pakistán.",Rakeysh Omprakash Mehra,Farhan Akhtar,Sonam Kapoor,Pawan Malhotra,Art Malik
Gangs of Wasseypur,2012,321,"Acción, Comedia, Crimen",8.2,Un enfrentamiento entre Sultan y Shahid Khan conduce a la expulsión de Khan de Wasseypur y desencadena una disputa sangrienta mortal que abarca tres generaciones.,Anurag Kashyap,Manoj Bajpayee,Richa Chadha,Nawazuddin Siddiqui,Tigmanshu Dhulia
Udaan,2010,134,Drama,8.2,"Expulsado de su escuela, un chico de 16 años regresa a casa con su padre abusivo y opresivo.",Vikramaditya Motwane,Rajat Barmecha,Ronit Roy,Manjot Singh,Ram Kapoor
Paan Singh Tomar,2012,135,"Acción, Biografía, Crimen",8.2,"La historia de Paan Singh Tomar, un atleta indio y siete veces campeón nacional de carreras de obstáculos que se convierte en uno de los ladrones más temidos en el valle de Chambal después de su retiro.",Tigmanshu Dhulia,Irrfan Khan,Mahie Gill,Rajesh Abhay,Hemendra Dandotiya
El secreto de sus ojos,2009,129,"Drama, Misterio, Romance",8.2,"Un asesor jurídico jubilado escribe una novela con la esperanza de encontrar un cierre a uno de sus casos de homicidio no resueltos del pasado y a su amor no correspondido por su superior, dos cosas que aún lo persiguen décadas después.",Juan JosÃ© Campanella,Ricardo DarÃ­n,Soledad Villamil,Pablo Rago,Carla Quevedo
Warrior,2011,140,"Acción, Drama, Deporte",8.2,"El hijo menor de un ex boxeador alcohólico regresa a casa, donde su padre lo entrena para competir en un torneo de artes marciales mixtas, un camino que pone al luchador en curso de colisión con su distanciado hermano mayor.",Gavin O'Connor,Tom Hardy,Nick Nolte,Joel Edgerton,Jennifer Morrison
Shutter Island,2010,138,"Misterio, Suspense",8.2,"En 1954, un alguacil estadounidense investiga la desaparición de un asesino que escapó de un hospital para criminales dementes.",Martin Scorsese,Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo,Ben Kingsley
Up,2009,96,"Animación, Aventura, Comedia",8.2,"Carl Fredricksen, de 78 años, viaja a Paradise Falls en su casa equipada con globos y, sin darse cuenta, se lleva a un joven polizón.",Pete Docter,Bob Peterson,Edward Asner,Jordan Nagai,John Ratzenberger
The Wolf of Wall Street,2013,180,"Biografía, Crimen, Drama",8.2,"Basado en la historia real de Jordan Belfort, desde su ascenso hasta convertirse en un rico corredor de bolsa que vivía la gran vida hasta su caída en medio del crimen, la corrupción y el gobierno federal.",Martin Scorsese,Leonardo DiCaprio,Jonah Hill,Margot Robbie,Matthew McConaughey
Chak De! India,2007,153,"Drama, Familia, Deporte",8.2,Kabir Khan es el entrenador del equipo nacional femenino de hockey de la India y su sueño es hacer que su equipo femenino salga victorioso contra todo pronóstico.,Shimit Amin,Shah Rukh Khan,Vidya Malvade,Sagarika Ghatge,Shilpa Shukla
